country_code,state_code,doctors_office,walk_in_clinic,virtual_care,hospital_or_ER,other,symptom_quarantine,voluntary_quarantine,personally_required_quarantine,general_quarantine,still_in_quarantine,still_symptomatic,fever,cough,difficulty_breathing,fatigue,sore_throat,not_hospitalized,hospitalized,no_care_received,care_received,stayed_in_quarantine,left_quarantine_temporarily,not_quarantined,was_quarantined,not_symptomatic,is_symptomatic,tested_at_dr_office,tested_at_hospital,tested_at_urgent_care,tested_at_ad_hoc,tested_at_other,tested_negative,tested_positive,tested_still_waiting,testing_not_attempted,testing_attempted,testing_attempted_and_denied,not_tested,tested,female,male,age_group_1,age_group_10,age_group_20,age_group_30,age_group_40,age_group_50,age_group_55,age_group_60,age_group_65,age_group_70,age_group_75,age_group_85
JO,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
JP,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
JP,13,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,6,0,0,3,3,3,5,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,6,0,0,2,1,2,1,0,0,0,0,0,0
KR,11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,3,0,0,2,1,1,0,0,0,0,0,0,0
KY,1ALL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
LV,LaRi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MX,DIF,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0
MX,OAX,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MY,07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
